team,matches_played,wins,draws,losses,goals_scored,goals_conceded,avg_goals_scored,avg_goals_conceded,win_rate,draw_rate,loss_rate,goal_difference
Sweden,1099,541,232,326,2168,1416,1.97270245677889,1.2884440400363968,0.49226569608735216,0.2111010009099181,0.2966333030027298,752
England,1088,623,258,207,2377,1041,2.1847426470588234,0.9568014705882353,0.5726102941176471,0.23713235294117646,0.19025735294117646,1336
Argentina,1064,588,257,219,2016,1073,1.894736842105263,1.0084586466165413,0.5526315789473685,0.24154135338345864,0.20582706766917294,943
Brazil,1057,670,216,171,2297,954,2.173131504257332,0.902554399243141,0.6338694418164617,0.2043519394512772,0.16177861873226113,1343
Germany,1029,597,213,219,2314,1197,2.248785228377065,1.163265306122449,0.5801749271137027,0.20699708454810495,0.21282798833819241,1117
South Korea,1005,536,252,217,1786,914,1.7771144278606965,0.909452736318408,0.5333333333333333,0.2507462686567164,0.21592039800995025,872
Hungary,1004,470,222,312,2006,1481,1.99800796812749,1.4750996015936255,0.4681274900398406,0.22111553784860558,0.3107569721115538,525
Mexico,1000,511,231,258,1759,1053,1.759,1.053,0.511,0.231,0.258,706
Uruguay,968,427,239,302,1530,1176,1.5805785123966942,1.2148760330578512,0.44111570247933884,0.246900826446281,0.3119834710743802,354
France,933,476,195,262,1711,1206,1.8338692390139335,1.292604501607717,0.5101822079314041,0.2090032154340836,0.2808145766345123,505
Italy,891,475,243,173,1563,876,1.754208754208754,0.9831649831649831,0.5331088664421998,0.2727272727272727,0.1941638608305275,687
Poland,890,384,224,282,1497,1197,1.6820224719101124,1.344943820224719,0.4314606741573034,0.251685393258427,0.31685393258426964,300
Switzerland,882,315,203,364,1315,1443,1.4909297052154196,1.6360544217687074,0.35714285714285715,0.23015873015873015,0.4126984126984127,-128
Netherlands,877,452,198,227,1839,1074,2.096921322690992,1.2246294184720639,0.5153933865450399,0.22576966932725198,0.2588369441277081,765
Denmark,872,401,184,287,1585,1172,1.8176605504587156,1.3440366972477065,0.4598623853211009,0.21100917431192662,0.3291284403669725,413
